26/10/2012
V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530460E+3	1.739000E+2	-6.100000E+0	1.530460E+3	-1.094000E+2	-2.875000E+2	1.534600E+3	-4.629000E+1	-1.702900E+2	1.530460E+3	-1.172000E+2	-2.967000E+2	1.530460E+3	-1.199000E+2	-2.572000E+2	1.530460E+3	-1.349000E+2	-2.740000E+2	1.530460E+3	-1.335000E+2	-3.125000E+2
1.530470E+3	1.737000E+2	-6.300000E+0	1.530470E+3	-1.090000E+2	-2.871000E+2	1.534700E+3	-4.730000E+1	-1.713000E+2	1.530470E+3	-1.168000E+2	-2.963000E+2	1.530470E+3	-1.197000E+2	-2.570000E+2	1.530470E+3	-1.343000E+2	-2.734000E+2	1.530470E+3	-1.329000E+2	-3.119000E+2
1.530480E+3	1.734000E+2	-6.600000E+0	1.530480E+3	-1.085000E+2	-2.866000E+2	1.534800E+3	-4.871000E+1	-1.727100E+2	1.530480E+3	-1.163000E+2	-2.958000E+2	1.530480E+3	-1.194000E+2	-2.567000E+2	1.530480E+3	-1.333000E+2	-2.724000E+2	1.530480E+3	-1.321000E+2	-3.111000E+2
1.530490E+3	1.731000E+2	-6.900000E+0	1.530490E+3	-1.078000E+2	-2.859000E+2	1.534900E+3	-4.981000E+1	-1.738100E+2	1.530490E+3	-1.159000E+2	-2.954000E+2	1.530490E+3	-1.189000E+2	-2.562000E+2	1.530490E+3	-1.324000E+2	-2.715000E+2	1.530490E+3	-1.313000E+2	-3.103000E+2
1.530500E+3	1.729000E+2	-7.100000E+0	1.530500E+3	-1.071000E+2	-2.852000E+2	1.535000E+3	-4.997000E+1	-1.739700E+2	1.530500E+3	-1.154000E+2	-2.949000E+2	1.530500E+3	-1.183000E+2	-2.556000E+2	1.530500E+3	-1.317000E+2	-2.708000E+2	1.530500E+3	-1.306000E+2	-3.096000E+2
1.530510E+3	1.727000E+2	-7.300000E+0	1.530510E+3	-1.065000E+2	-2.846000E+2	1.535100E+3	-4.884000E+1	-1.728400E+2	1.530510E+3	-1.150000E+2	-2.945000E+2	1.530510E+3	-1.177000E+2	-2.550000E+2	1.530510E+3	-1.305000E+2	-2.696000E+2	1.530510E+3	-1.288000E+2	-3.078000E+2
1.530520E+3	1.727000E+2	-7.300000E+0	1.530520E+3	-1.055000E+2	-2.836000E+2	1.535200E+3	-4.620000E+1	-1.702000E+2	1.530520E+3	-1.142000E+2	-2.937000E+2	1.530520E+3	-1.170000E+2	-2.543000E+2	1.530520E+3	-1.296000E+2	-2.687000E+2	1.530520E+3	-1.277000E+2	-3.067000E+2
1.530530E+3	1.727000E+2	-7.300000E+0	1.530530E+3	-1.049000E+2	-2.830000E+2	1.535300E+3	-4.214000E+1	-1.661400E+2	1.530530E+3	-1.139000E+2	-2.934000E+2	1.530530E+3	-1.165000E+2	-2.538000E+2	1.530530E+3	-1.287000E+2	-2.678000E+2	1.530530E+3	-1.270000E+2	-3.060000E+2
1.530540E+3	1.727000E+2	-7.300000E+0	1.530540E+3	-1.044000E+2	-2.825000E+2	1.535400E+3	-3.727000E+1	-1.612700E+2	1.530540E+3	-1.139000E+2	-2.934000E+2	1.530540E+3	-1.161000E+2	-2.534000E+2	1.530540E+3	-1.280000E+2	-2.671000E+2	1.530540E+3	-1.259000E+2	-3.049000E+2
1.530550E+3	1.727000E+2	-7.300000E+0	1.530550E+3	-1.040000E+2	-2.821000E+2	1.535500E+3	-3.388000E+1	-1.578800E+2	1.530550E+3	-1.138000E+2	-2.933000E+2	1.530550E+3	-1.156000E+2	-2.529000E+2	1.530550E+3	-1.271000E+2	-2.662000E+2	1.530550E+3	-1.252000E+2	-3.042000E+2
1.530560E+3	1.727000E+2	-7.300000E+0	1.530560E+3	-1.034000E+2	-2.815000E+2	1.535600E+3	-3.263000E+1	-1.566300E+2	1.530560E+3	-1.133000E+2	-2.928000E+2	1.530560E+3	-1.146000E+2	-2.519000E+2	1.530560E+3	-1.259000E+2	-2.650000E+2	1.530560E+3	-1.242000E+2	-3.032000E+2
1.530570E+3	1.727000E+2	-7.300000E+0	1.530570E+3	-1.027000E+2	-2.808000E+2	1.535700E+3	-3.291000E+1	-1.569100E+2	1.530570E+3	-1.116000E+2	-2.911000E+2	1.530570E+3	-1.139000E+2	-2.512000E+2	1.530570E+3	-1.246000E+2	-2.637000E+2	1.530570E+3	-1.233000E+2	-3.023000E+2
1.530580E+3	1.728000E+2	-7.200000E+0	1.530580E+3	-1.021000E+2	-2.802000E+2	1.535800E+3	-3.423000E+1	-1.582300E+2	1.530580E+3	-1.113000E+2	-2.908000E+2	1.530580E+3	-1.135000E+2	-2.508000E+2	1.530580E+3	-1.237000E+2	-2.628000E+2	1.530580E+3	-1.225000E+2	-3.015000E+2
1.530590E+3	1.730000E+2	-7.000000E+0	1.530590E+3	-1.014000E+2	-2.795000E+2	1.535900E+3	-3.553000E+1	-1.595300E+2	1.530590E+3	-1.109000E+2	-2.904000E+2	1.530590E+3	-1.130000E+2	-2.503000E+2	1.530590E+3	-1.229000E+2	-2.620000E+2	1.530590E+3	-1.215000E+2	-3.005000E+2
1.530600E+3	1.733000E+2	-6.700000E+0	1.530600E+3	-1.006000E+2	-2.787000E+2	1.536000E+3	-3.632000E+1	-1.603200E+2	1.530600E+3	-1.103000E+2	-2.898000E+2	1.530600E+3	-1.123000E+2	-2.496000E+2	1.530600E+3	-1.220000E+2	-2.611000E+2	1.530600E+3	-1.203000E+2	-2.993000E+2
1.530610E+3	1.737000E+2	-6.300000E+0	1.530610E+3	-9.986000E+1	-2.779600E+2	1.536100E+3	-3.600000E+1	-1.600000E+2	1.530610E+3	-1.099000E+2	-2.894000E+2	1.530610E+3	-1.115000E+2	-2.488000E+2	1.530610E+3	-1.213000E+2	-2.604000E+2	1.530610E+3	-1.181000E+2	-2.971000E+2
