24/10/2012
V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530650E+3	-3.427200E+1	-4.532000E+0	1.530650E+3	-3.434600E+1	-4.035000E+0	1.530650E+3	-3.403800E+1	-3.717000E+0	1.530650E+3	-3.336200E+1	-3.063000E+0	1.530650E+3	-3.413300E+1	-3.849000E+0	1.530650E+3	-3.433900E+1	-3.847000E+0
1.530660E+3	-3.426800E+1	-4.528000E+0	1.530660E+3	-3.433400E+1	-4.023000E+0	1.530660E+3	-3.402000E+1	-3.699000E+0	1.530660E+3	-3.333300E+1	-3.034000E+0	1.530660E+3	-3.413500E+1	-3.851000E+0	1.530660E+3	-3.433100E+1	-3.839000E+0
1.530670E+3	-3.425800E+1	-4.518000E+0	1.530670E+3	-3.431500E+1	-4.004000E+0	1.530670E+3	-3.401000E+1	-3.689000E+0	1.530670E+3	-3.334000E+1	-3.041000E+0	1.530670E+3	-3.413000E+1	-3.846000E+0	1.530670E+3	-3.435200E+1	-3.860000E+0
1.530680E+3	-3.426700E+1	-4.527000E+0	1.530680E+3	-3.432300E+1	-4.012000E+0	1.530680E+3	-3.399900E+1	-3.678000E+0	1.530680E+3	-3.331000E+1	-3.011000E+0	1.530680E+3	-3.413700E+1	-3.853000E+0	1.530680E+3	-3.433700E+1	-3.845000E+0
1.530690E+3	-3.426100E+1	-4.521000E+0	1.530690E+3	-3.431100E+1	-4.000000E+0	1.530690E+3	-3.400500E+1	-3.684000E+0	1.530690E+3	-3.332300E+1	-3.024000E+0	1.530690E+3	-3.416800E+1	-3.884000E+0	1.530690E+3	-3.432000E+1	-3.828000E+0
1.530700E+3	-3.425000E+1	-4.510000E+0	1.530700E+3	-3.430500E+1	-3.994000E+0	1.530700E+3	-3.401300E+1	-3.692000E+0	1.530700E+3	-3.333300E+1	-3.034000E+0	1.530700E+3	-3.420100E+1	-3.917000E+0	1.530700E+3	-3.432300E+1	-3.831000E+0
1.530710E+3	-3.426500E+1	-4.525000E+0	1.530710E+3	-3.428800E+1	-3.977000E+0	1.530710E+3	-3.403200E+1	-3.711000E+0	1.530710E+3	-3.333000E+1	-3.031000E+0	1.530710E+3	-3.421700E+1	-3.933000E+0	1.530710E+3	-3.436200E+1	-3.870000E+0
1.530720E+3	-3.426300E+1	-4.523000E+0	1.530720E+3	-3.426900E+1	-3.958000E+0	1.530720E+3	-3.402300E+1	-3.702000E+0	1.530720E+3	-3.334200E+1	-3.043000E+0	1.530720E+3	-3.419900E+1	-3.915000E+0	1.530720E+3	-3.437900E+1	-3.887000E+0
1.530730E+3	-3.430100E+1	-4.561000E+0	1.530730E+3	-3.426600E+1	-3.955000E+0	1.530730E+3	-3.401900E+1	-3.698000E+0	1.530730E+3	-3.332200E+1	-3.023000E+0	1.530730E+3	-3.420100E+1	-3.917000E+0	1.530730E+3	-3.435000E+1	-3.858000E+0
1.530740E+3	-3.428300E+1	-4.543000E+0	1.530740E+3	-3.424500E+1	-3.934000E+0	1.530740E+3	-3.398000E+1	-3.659000E+0	1.530740E+3	-3.338300E+1	-3.084000E+0	1.530740E+3	-3.418400E+1	-3.900000E+0	1.530740E+3	-3.435200E+1	-3.860000E+0
