26/07/2011
corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm
1.580900E+3	-1.063000E+2	-2.863000E+2	1.573450E+3	-1.150000E+2	-2.949000E+2	1.573450E+3	-1.005000E+2	-2.805000E+2
1.581000E+3	-1.059000E+2	-2.859000E+2	1.573500E+3	-1.244000E+2	-3.043000E+2	1.573500E+3	-1.091000E+2	-2.891000E+2
1.581100E+3	-1.234000E+2	-3.034000E+2	1.573550E+3	-1.324000E+2	-3.123000E+2	1.573550E+3	-1.164000E+2	-2.964000E+2
1.581200E+3	-1.236000E+2	-3.036000E+2	1.573600E+3	-1.392000E+2	-3.191000E+2	1.573600E+3	-1.225000E+2	-3.025000E+2
1.581300E+3	-1.332000E+2	-3.132000E+2	1.573650E+3	-1.473000E+2	-3.272000E+2	1.573650E+3	-1.293000E+2	-3.093000E+2
1.581400E+3	-1.367000E+2	-3.167000E+2	1.573700E+3	-1.588000E+2	-3.387000E+2	1.573700E+3	-1.394000E+2	-3.194000E+2
1.581500E+3	-1.449000E+2	-3.249000E+2	1.573750E+3	-1.648000E+2	-3.447000E+2	1.573750E+3	-1.455000E+2	-3.255000E+2
1.581600E+3	-1.509000E+2	-3.309000E+2	1.573800E+3	-1.619000E+2	-3.418000E+2	1.573800E+3	-1.416000E+2	-3.216000E+2
1.581700E+3	-1.613000E+2	-3.413000E+2	1.573850E+3	-1.595000E+2	-3.394000E+2	1.573850E+3	-1.383000E+2	-3.183000E+2
1.581800E+3	-1.655000E+2	-3.455000E+2	1.573900E+3	-1.584000E+2	-3.383000E+2	1.573900E+3	-1.368000E+2	-3.168000E+2
1.581900E+3	-1.733000E+2	-3.533000E+2	1.573950E+3	-1.512000E+2	-3.311000E+2	1.573950E+3	-1.294000E+2	-3.094000E+2
1.582000E+3	-1.765000E+2	-3.565000E+2	1.574000E+3	-1.448000E+2	-3.247000E+2	1.574000E+3	-1.228000E+2	-3.028000E+2
1.582100E+3	-1.765000E+2	-3.565000E+2	1.574050E+3	-1.421000E+2	-3.220000E+2	1.574050E+3	-1.194000E+2	-2.994000E+2
1.582200E+3	1.724000E+2	-7.600000E+0	1.574100E+3	-1.499000E+2	-3.298000E+2	1.574100E+3	-1.248000E+2	-3.048000E+2
1.582300E+3	1.666000E+2	-1.340000E+1	1.574150E+3	-1.585000E+2	-3.384000E+2	1.574150E+3	-1.309000E+2	-3.109000E+2
1.582400E+3	1.652000E+2	-1.480000E+1	1.574200E+3	-1.578000E+2	-3.377000E+2	1.574200E+3	-1.286000E+2	-3.086000E+2
1.582500E+3	1.664000E+2	-1.360000E+1	1.574250E+3	-1.540000E+2	-3.339000E+2	1.574250E+3	-1.231000E+2	-3.031000E+2
1.582600E+3	1.513000E+2	-2.870000E+1	1.574300E+3	-1.541000E+2	-3.340000E+2	1.574300E+3	-1.219000E+2	-3.019000E+2
