06/03/2012
V740 C11 Middle set
Pin 0.6dBm
MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr51 _X	MZIcorr51_Y	MZIcorr51_Ynorm	MZIcorr101 _X	MZIcorr101_Y	MZIcorr101_Ynorm	corrWi1100_101taps _X	corrWi1100_101taps_Y	corrWi1100_101taps_Ynorm	corrWi1100_1001taps _X	corrWi1100_1001taps_Y	corrWi1100_1001taps_Ynorm
1.535700E+3	-2.525400E+1	0.000000E+0	1.562850E+3	-2.942800E+1	-5.290000E-1	1.532850E+3	-2.268300E+1	-4.650000E-1	1.532850E+3	-2.220400E+1	-2.660000E-1	1.532850E+3	-5.059700E+1	-2.959300E+1	1.532850E+3	-6.151800E+1	-3.258400E+1
1.535800E+3	-2.527400E+1	-2.000000E-2	1.562900E+3	-2.950000E+1	-6.010000E-1	1.532900E+3	-2.264000E+1	-4.220000E-1	1.532900E+3	-2.224100E+1	-3.030000E-1	1.532900E+3	-5.055600E+1	-2.955200E+1	1.532900E+3	-6.150600E+1	-3.257200E+1
1.535900E+3	-2.535800E+1	-1.040000E-1	1.562950E+3	-2.964200E+1	-7.430000E-1	1.532950E+3	-2.257500E+1	-3.570000E-1	1.532950E+3	-2.226300E+1	-3.250000E-1	1.532950E+3	-5.058100E+1	-2.957700E+1	1.532950E+3	-6.159500E+1	-3.266100E+1
1.536000E+3	-2.541400E+1	-1.600000E-1	1.563000E+3	-2.960000E+1	-7.010000E-1	1.533000E+3	-2.266200E+1	-4.440000E-1	1.533000E+3	-2.228600E+1	-3.480000E-1	1.533000E+3	-5.053000E+1	-2.952600E+1	1.533000E+3	-6.147100E+1	-3.253700E+1
1.536100E+3	-2.539400E+1	-1.400000E-1	1.563050E+3	-2.944300E+1	-5.440000E-1	1.533050E+3	-2.273700E+1	-5.190000E-1	1.533050E+3	-2.228500E+1	-3.470000E-1	1.533050E+3	-5.053600E+1	-2.953200E+1	1.533050E+3	-6.139900E+1	-3.246500E+1
1.536200E+3	-2.534300E+1	-8.900000E-2	1.563100E+3	-2.941700E+1	-5.180000E-1	1.533100E+3	-2.270900E+1	-4.910000E-1	1.533100E+3	-2.233300E+1	-3.950000E-1	1.533100E+3	-5.063300E+1	-2.962900E+1	1.533100E+3	-6.153700E+1	-3.260300E+1
1.536300E+3	-2.535300E+1	-9.900000E-2	1.563150E+3	-2.949100E+1	-5.920000E-1	1.533150E+3	-2.266300E+1	-4.450000E-1	1.533150E+3	-2.236400E+1	-4.260000E-1	1.533150E+3	-5.069600E+1	-2.969200E+1	1.533150E+3	-6.167400E+1	-3.274000E+1
1.536400E+3	-2.534600E+1	-9.200000E-2	1.563200E+3	-2.948300E+1	-5.840000E-1	1.533200E+3	-2.274100E+1	-5.230000E-1	1.533200E+3	-2.234200E+1	-4.040000E-1	1.533200E+3	-5.073800E+1	-2.973400E+1	1.533200E+3	-6.169400E+1	-3.276000E+1
1.536500E+3	-2.530900E+1	-5.500000E-2	1.563250E+3	-2.937100E+1	-4.720000E-1	1.533250E+3	-2.275400E+1	-5.360000E-1	1.533250E+3	-2.233800E+1	-4.000000E-1	1.533250E+3	-5.073700E+1	-2.973300E+1	1.533250E+3	-6.169900E+1	-3.276500E+1
1.536600E+3	-2.531700E+1	-6.300000E-2	1.563300E+3	-2.933800E+1	-4.390000E-1	1.533300E+3	-2.264700E+1	-4.290000E-1	1.533300E+3	-2.237300E+1	-4.350000E-1	1.533300E+3	-5.066600E+1	-2.966200E+1	1.533300E+3	-6.157800E+1	-3.264400E+1
1.536700E+3	-2.535500E+1	-1.010000E-1	1.563350E+3	-2.944100E+1	-5.420000E-1	1.533350E+3	-2.263100E+1	-4.130000E-1	1.533350E+3	-2.238100E+1	-4.430000E-1	1.533350E+3	-5.059900E+1	-2.959500E+1	1.533350E+3	-6.156100E+1	-3.262700E+1
1.536800E+3	-2.540200E+1	-1.480000E-1	1.563400E+3	-2.948200E+1	-5.830000E-1	1.533400E+3	-2.263800E+1	-4.200000E-1	1.533400E+3	-2.233200E+1	-3.940000E-1	1.533400E+3	-5.063500E+1	-2.963100E+1	1.533400E+3	-6.159500E+1	-3.266100E+1
1.536900E+3	-2.540000E+1	-1.460000E-1	1.563450E+3	-2.946600E+1	-5.670000E-1	1.533450E+3	-2.265400E+1	-4.360000E-1	1.533450E+3	-2.232200E+1	-3.840000E-1	1.533450E+3	-5.059900E+1	-2.959500E+1	1.533450E+3	-6.150200E+1	-3.256800E+1
1.537000E+3	-2.534500E+1	-9.100000E-2	1.563500E+3	-2.943500E+1	-5.360000E-1	1.533500E+3	-2.265500E+1	-4.370000E-1	1.533500E+3	-2.235300E+1	-4.150000E-1	1.533500E+3	-5.063300E+1	-2.962900E+1	1.533500E+3	-6.145400E+1	-3.252000E+1
1.537100E+3	-2.533500E+1	-8.100000E-2	1.563550E+3	-2.953900E+1	-6.400000E-1	1.533550E+3	-2.265500E+1	-4.370000E-1	1.533550E+3	-2.231100E+1	-3.730000E-1	1.533550E+3	-5.075400E+1	-2.975000E+1	1.533550E+3	-6.154200E+1	-3.260800E+1
1.537200E+3	-2.535900E+1	-1.050000E-1	1.563600E+3	-2.968100E+1	-7.820000E-1	1.533600E+3	-2.276100E+1	-5.430000E-1	1.533600E+3	-2.229400E+1	-3.560000E-1	1.533600E+3	-5.082900E+1	-2.982500E+1	1.533600E+3	-6.161600E+1	-3.268200E+1
1.537300E+3	-2.540900E+1	-1.550000E-1	1.563650E+3	-2.968600E+1	-7.870000E-1	1.533650E+3	-2.286900E+1	-6.510000E-1	1.533650E+3	-2.232000E+1	-3.820000E-1	1.533650E+3	-5.085400E+1	-2.985000E+1	1.533650E+3	-6.158400E+1	-3.265000E+1
1.537400E+3	-2.545100E+1	-1.970000E-1	1.563700E+3	-2.966500E+1	-7.660000E-1	1.533700E+3	-2.286100E+1	-6.430000E-1	1.533700E+3	-2.236100E+1	-4.230000E-1	1.533700E+3	-5.081400E+1	-2.981000E+1	1.533700E+3	-6.148700E+1	-3.255300E+1
1.537500E+3	-2.547700E+1	-2.230000E-1	1.563750E+3	-2.974200E+1	-8.430000E-1	1.533750E+3	-2.276500E+1	-5.470000E-1	1.533750E+3	-2.237600E+1	-4.380000E-1	1.533750E+3	-5.072000E+1	-2.971600E+1	1.533750E+3	-6.145900E+1	-3.252500E+1
1.537600E+3	-2.552500E+1	-2.710000E-1	1.563800E+3	-2.974500E+1	-8.460000E-1	1.533800E+3	-2.283200E+1	-6.140000E-1	1.533800E+3	-2.241100E+1	-4.730000E-1	1.533800E+3	-5.066100E+1	-2.965700E+1	1.533800E+3	-6.151900E+1	-3.258500E+1
1.537700E+3	-2.552600E+1	-2.720000E-1	1.563850E+3	-2.960500E+1	-7.060000E-1	1.533850E+3	-2.293400E+1	-7.160000E-1	1.533850E+3	-2.247500E+1	-5.370000E-1	1.533850E+3	-5.069400E+1	-2.969000E+1	1.533850E+3	-6.166200E+1	-3.272800E+1
1.537800E+3	-2.552200E+1	-2.680000E-1	1.563900E+3	-2.947700E+1	-5.780000E-1	1.533900E+3	-2.285100E+1	-6.330000E-1	1.533900E+3	-2.249600E+1	-5.580000E-1	1.533900E+3	-5.069100E+1	-2.968700E+1	1.533900E+3	-6.168400E+1	-3.275000E+1
1.537900E+3	-2.551200E+1	-2.580000E-1	1.563950E+3	-2.949600E+1	-5.970000E-1	1.533950E+3	-2.281000E+1	-5.920000E-1	1.533950E+3	-2.251000E+1	-5.720000E-1	1.533950E+3	-5.072500E+1	-2.972100E+1	1.533950E+3	-6.170100E+1	-3.276700E+1
1.538000E+3	-2.552100E+1	-2.670000E-1	1.564000E+3	-2.941700E+1	-5.180000E-1	1.534000E+3	-2.286700E+1	-6.490000E-1	1.534000E+3	-2.251500E+1	-5.770000E-1	1.534000E+3	-5.076500E+1	-2.976100E+1	1.534000E+3	-6.181900E+1	-3.288500E+1
