26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.560550E+3	-1.582000E+2	-3.381000E+2	1.560550E+3	-1.530000E+2	-3.326000E+2	1.560550E+3	1.567000E+2	-2.300000E+1
1.560600E+3	-1.583000E+2	-3.382000E+2	1.560600E+3	-1.498000E+2	-3.294000E+2	1.560600E+3	1.612000E+2	-1.850000E+1
1.560650E+3	-1.557000E+2	-3.356000E+2	1.560650E+3	-1.398000E+2	-3.194000E+2	1.560650E+3	1.689000E+2	-1.080000E+1
1.560700E+3	-1.540000E+2	-3.339000E+2	1.560700E+3	-1.319000E+2	-3.115000E+2	1.560700E+3	1.790000E+2	-7.000000E-1
1.560750E+3	-1.524000E+2	-3.323000E+2	1.560750E+3	-1.313000E+2	-3.109000E+2	1.560750E+3	-1.762000E+2	-3.559000E+2
1.560800E+3	-1.524000E+2	-3.323000E+2	1.560800E+3	-1.283000E+2	-3.079000E+2	1.560800E+3	-1.718000E+2	-3.515000E+2
1.560850E+3	-1.537000E+2	-3.336000E+2	1.560850E+3	-1.313000E+2	-3.109000E+2	1.560850E+3	-1.736000E+2	-3.533000E+2
1.560900E+3	-1.522000E+2	-3.321000E+2	1.560900E+3	-1.280000E+2	-3.076000E+2	1.560900E+3	-1.689000E+2	-3.486000E+2
1.560950E+3	-1.556000E+2	-3.355000E+2	1.560950E+3	-1.306000E+2	-3.102000E+2	1.560950E+3	-1.671000E+2	-3.468000E+2
1.561000E+3	-1.613000E+2	-3.412000E+2	1.561000E+3	-1.431000E+2	-3.227000E+2	1.561000E+3	-1.796000E+2	-3.593000E+2
1.561050E+3	-1.636000E+2	-3.435000E+2	1.561050E+3	-1.489000E+2	-3.285000E+2	1.561050E+3	1.742000E+2	-5.500000E+0
1.561100E+3	-1.690000E+2	-3.489000E+2	1.561100E+3	-1.522000E+2	-3.318000E+2	1.561100E+3	1.709000E+2	-8.800000E+0
1.561150E+3	-1.715000E+2	-3.514000E+2	1.561150E+3	-1.567000E+2	-3.363000E+2	1.561150E+3	1.639000E+2	-1.580000E+1
1.561200E+3	-1.719000E+2	-3.518000E+2	1.561200E+3	-1.644000E+2	-3.440000E+2	1.561200E+3	1.593000E+2	-2.040000E+1
1.561250E+3	-1.715000E+2	-3.514000E+2	1.561250E+3	-1.654000E+2	-3.450000E+2	1.561250E+3	1.577000E+2	-2.200000E+1
1.561300E+3	-1.661000E+2	-3.460000E+2	1.561300E+3	-1.613000E+2	-3.409000E+2	1.561300E+3	1.609000E+2	-1.880000E+1
1.561350E+3	-1.634000E+2	-3.433000E+2	1.561350E+3	-1.612000E+2	-3.408000E+2	1.561350E+3	1.604000E+2	-1.930000E+1
1.561400E+3	-1.601000E+2	-3.400000E+2	1.561400E+3	-1.577000E+2	-3.373000E+2	1.561400E+3	1.616000E+2	-1.810000E+1
1.561450E+3	-1.571000E+2	-3.370000E+2	1.561450E+3	-1.536000E+2	-3.332000E+2	1.561450E+3	1.638000E+2	-1.590000E+1
1.561500E+3	-1.487000E+2	-3.286000E+2	1.561500E+3	-1.439000E+2	-3.235000E+2	1.561500E+3	1.714000E+2	-8.300000E+0
1.561550E+3	-1.427000E+2	-3.226000E+2	1.561550E+3	-1.347000E+2	-3.143000E+2	1.561550E+3	1.783000E+2	-1.400000E+0
1.561600E+3	-1.396000E+2	-3.195000E+2	1.561600E+3	-1.281000E+2	-3.077000E+2	1.561600E+3	-1.779000E+2	-3.576000E+2
1.561650E+3	-1.344000E+2	-3.143000E+2	1.561650E+3	-1.234000E+2	-3.030000E+2	1.561650E+3	-1.753000E+2	-3.550000E+2
1.561700E+3	-1.257000E+2	-3.056000E+2	1.561700E+3	-1.114000E+2	-2.910000E+2	1.561700E+3	-1.687000E+2	-3.484000E+2
1.561750E+3	-1.188000E+2	-2.987000E+2	1.561750E+3	-9.975000E+1	-2.793500E+2	1.561750E+3	-1.599000E+2	-3.396000E+2
1.561800E+3	-1.200000E+2	-2.999000E+2	1.561800E+3	-1.001000E+2	-2.797000E+2	1.561800E+3	-1.606000E+2	-3.403000E+2
1.561850E+3	-1.133000E+2	-2.932000E+2	1.561850E+3	-9.135000E+1	-2.709500E+2	1.561850E+3	-1.538000E+2	-3.335000E+2
1.561900E+3	-1.072000E+2	-2.871000E+2	1.561900E+3	-8.303000E+1	-2.626300E+2	1.561900E+3	-1.467000E+2	-3.264000E+2
